sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_77655	deepbgc	0.1.0	deepbgc	k141_77655_771-1062.1	771	1062	291	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.08	0.33	0.21	0.03	0.32	k141_77655_k141_77655_3		PF13966
k141_621167	deepbgc	0.1.0	deepbgc	k141_621167_1-955.1	1	955	954	2	2	0	0.57440	antibacterial	0.88	0.21	0.15	0.37		0.00	0.12	0.08	0.30	0.21	0.02	0.30	k141_621167_k141_621167_1;k141_621167_k141_621167_2		PF00334;PF00551
k141_388249	deepbgc	0.1.0	deepbgc	k141_388249_728-1031.1	728	1031	303	1	3	0	0.52086		0.42	0.03	0.30	0.14		0.00	0.09	0.07	0.31	0.26	0.04	0.29	k141_388249_k141_388249_2		PF00069;PF07714;PF07387
k141_465904	deepbgc	0.1.0	deepbgc	k141_465904_2-188.1	2	188	186	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_465904_k141_465904_1		PF15182
k141_155323	deepbgc	0.1.0	deepbgc	k141_155323_1-1075.1	1	1075	1074	1	1	0	0.60290	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_155323_k141_155323_1		PF04016
k141_45	deepbgc	0.1.0	deepbgc	k141_45_1-912.1	1	912	911	2	2	0	0.65882	antibacterial	0.86	0.06	0.17	0.26		0.00	0.09	0.07	0.36	0.19	0.03	0.31	k141_45_k141_45_1;k141_45_k141_45_2		PF01012;PF01012
k141_155333	deepbgc	0.1.0	deepbgc	k141_155333_1-793.1	1	793	792	1	1	0	0.50960	antibacterial	0.87	0.06	0.17	0.26		0.01	0.08	0.08	0.32	0.21	0.03	0.31	k141_155333_k141_155333_1		PF14667
k141_233018	deepbgc	0.1.0	deepbgc	k141_233018_635-776.1	635	776	141	1	1	0	0.68762	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_233018_k141_233018_1		PF01399
k141_310661	deepbgc	0.1.0	deepbgc	k141_310661_86-1157.1	86	1157	1071	2	3	1	0.69390	antibacterial	0.92	0.01	0.04	0.07	Polyketide	0.00	0.23	0.23	0.54	0.00	0.00	0.00	k141_310661_k141_310661_1;k141_310661_k141_310661_2	PF00501	PF07750;PF13193;PF00501
k141_233039	deepbgc	0.1.0	deepbgc	k141_233039_2-785.1	2	785	783	1	1	0	0.50534	antibacterial	0.98	0.11	0.04	0.17	Terpene	0.00	0.10	0.04	0.15	0.06	0.02	0.65	k141_233039_k141_233039_1		PF04909
