sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_532675	deepbgc	0.1.0	deepbgc	k141_532675_2-1169.1	2	1169	1167	1	1	0	0.50418	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_532675_k141_532675_1		PF01391
k141_639222	deepbgc	0.1.0	deepbgc	k141_639222_822-1155.1	822	1155	333	1	1	0	0.66288	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_639222_k141_639222_3		PF06267
k141_532694	deepbgc	0.1.0	deepbgc	k141_532694_1265-1469.1	1265	1469	204	1	1	0	0.58814	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_532694_k141_532694_2		PF01500
k141_639237	deepbgc	0.1.0	deepbgc	k141_639237_354-978.1	354	978	624	1	1	1	0.59453	antibacterial	0.86	0.06	0.17	0.25		0.00	0.07	0.36	0.21	0.14	0.03	0.25	k141_639237_k141_639237_2	PF01553	PF01553
k141_532708	deepbgc	0.1.0	deepbgc	k141_532708_1-868.1	1	868	867	2	10	2	0.54012	antibacterial	0.53	0.10	0.06	0.46		0.00	0.39	0.16	0.37	0.05	0.02	0.03	k141_532708_k141_532708_1;k141_532708_k141_532708_2	PF00975;PF00561	PF00474;PF08386;PF03096;PF12697;PF12146;PF12695;PF00561;PF02230;PF00975;PF00756
k141_213104	deepbgc	0.1.0	deepbgc	k141_213104_1264-1552.1	1264	1552	288	1	1	0	0.53695	antibacterial	0.86	0.06	0.18	0.26		0.00	0.09	0.10	0.33	0.20	0.03	0.31	k141_213104_k141_213104_2		PF13577
k141_532713	deepbgc	0.1.0	deepbgc	k141_532713_2-4268.1	2	4268	4266	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_532713_k141_532713_1		PF07727
k141_532718	deepbgc	0.1.0	deepbgc	k141_532718_773-1007.1	773	1007	234	1	1	1	0.61857	antibacterial	0.82	0.12	0.17	0.25		0.11	0.05	0.09	0.30	0.17	0.03	0.30	k141_532718_k141_532718_3	PF00355	PF00355
k141_1065374	deepbgc	0.1.0	deepbgc	k141_1065374_0-861.1	0	861	861	1	1	0	0.58443	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_1065374_k141_1065374_1		PF11962
k141_426205	deepbgc	0.1.0	deepbgc	k141_426205_193-640.1	193	640	447	1	1	0	0.53031	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_426205_k141_426205_2		PF10358
k141_958868	deepbgc	0.1.0	deepbgc	k141_958868_2-719.1	2	719	717	1	1	0	0.60199	antibacterial	0.85	0.08	0.17	0.28		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_958868_k141_958868_1		PF01244
k141_1065379	deepbgc	0.1.0	deepbgc	k141_1065379_2-4324.1	2	4324	4322	4	5	2	0.68244	antibacterial	0.88	0.05	0.15	0.29		0.00	0.08	0.15	0.29	0.18	0.03	0.30	k141_1065379_k141_1065379_1;k141_1065379_k141_1065379_2;k141_1065379_k141_1065379_3;k141_1065379_k141_1065379_4	PF00288;PF00368	PF01425;PF00288;PF00288;PF00368;PF00288
k141_639284	deepbgc	0.1.0	deepbgc	k141_639284_593-1097.1	593	1097	504	1	1	0	0.63610	antibacterial	0.88	0.11	0.16	0.29		0.01	0.09	0.06	0.43	0.18	0.04	0.28	k141_639284_k141_639284_2		PF13460
k141_532750	deepbgc	0.1.0	deepbgc	k141_532750_1-1054.1	1	1054	1053	1	2	0	0.57398		0.42	0.03	0.30	0.14		0.00	0.09	0.07	0.31	0.27	0.03	0.29	k141_532750_k141_532750_1		PF00069;PF07714
k141_1065395	deepbgc	0.1.0	deepbgc	k141_1065395_0-1185.1	0	1185	1185	1	1	0	0.65990	antibacterial	0.80	0.09	0.14	0.32		0.00	0.27	0.10	0.37	0.12	0.01	0.15	k141_1065395_k141_1065395_1		PF12697
k141_426220	deepbgc	0.1.0	deepbgc	k141_426220_1-1375.1	1	1375	1374	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_426220_k141_426220_1		PF08166
k141_532778	deepbgc	0.1.0	deepbgc	k141_532778_1-889.1	1	889	888	1	1	0	0.58756	antibacterial	0.86	0.09	0.17	0.29		0.00	0.09	0.07	0.32	0.21	0.03	0.33	k141_532778_k141_532778_1		PF13640
k141_319694	deepbgc	0.1.0	deepbgc	k141_319694_75-2478.1	75	2478	2403	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_319694_k141_319694_1		PF07727
k141_319703	deepbgc	0.1.0	deepbgc	k141_319703_558-1560.1	558	1560	1002	1	1	1	0.54416	antibacterial	0.89	0.06	0.16	0.23		0.00	0.03	0.29	0.12	0.39	0.01	0.18	k141_319703_k141_319703_2	PF04055	PF04055
k141_1065434	deepbgc	0.1.0	deepbgc	k141_1065434_522-1674.1	522	1674	1152	1	1	0	0.69562	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_1065434_k141_1065434_1		PF03567
k141_1065472	deepbgc	0.1.0	deepbgc	k141_1065472_1049-1280.1	1049	1280	231	1	2	0	0.51913	antibacterial	0.84	0.06	0.19	0.26		0.00	0.08	0.06	0.41	0.17	0.03	0.30	k141_1065472_k141_1065472_2		PF13370;PF13459
k141_745941	deepbgc	0.1.0	deepbgc	k141_745941_2-1175.1	2	1175	1173	1	2	0	0.66943	antibacterial	0.87	0.06	0.17	0.26	RiPP	0.00	0.01	0.02	0.04	0.89	0.02	0.04	k141_745941_k141_745941_1		PF00082;PF07483
k141_639422	deepbgc	0.1.0	deepbgc	k141_639422_432-1302.1	432	1302	870	1	1	0	0.52553	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_639422_k141_639422_2		PF00852
k141_426327	deepbgc	0.1.0	deepbgc	k141_426327_600-1728.1	600	1728	1128	1	1	0	0.58170	antibacterial	0.85	0.06	0.19	0.25		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_426327_k141_426327_2		PF04339
k141_106734	deepbgc	0.1.0	deepbgc	k141_106734_650-1361.1	650	1361	711	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_106734_k141_106734_1		PF00169
k141_1065508	deepbgc	0.1.0	deepbgc	k141_1065508_151-1075.1	151	1075	924	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_1065508_k141_1065508_1		PF01392
k141_852484	deepbgc	0.1.0	deepbgc	k141_852484_1-2881.1	1	2881	2880	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_852484_k141_852484_1		PF07727
k141_319794	deepbgc	0.1.0	deepbgc	k141_319794_5170-9466.1	5170	9466	4296	1	1	0	0.51738	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_319794_k141_319794_7		PF05380
k141_1172126	deepbgc	0.1.0	deepbgc	k141_1172126_543-891.1	543	891	348	1	1	0	0.57912	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_1172126_k141_1172126_1		PF00059
k141_1065539	deepbgc	0.1.0	deepbgc	k141_1065539_1-634.1	1	634	633	2	2	1	0.81925	antibacterial	0.79	0.07	0.15	0.29	Polyketide	0.00	0.25	0.06	0.57	0.11	0.03	0.22	k141_1065539_k141_1065539_1;k141_1065539_k141_1065539_2	PF00108	PF00108;PF00108
k141_213313	deepbgc	0.1.0	deepbgc	k141_213313_601-931.1	601	931	330	1	1	0	0.56837	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_213313_k141_213313_1		PF13700
k141_532924	deepbgc	0.1.0	deepbgc	k141_532924_0-1407.1	0	1407	1407	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_532924_k141_532924_1		PF15909
k141_426386	deepbgc	0.1.0	deepbgc	k141_426386_1198-1891.1	1198	1891	693	1	1	0	0.54607	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_426386_k141_426386_2		PF10551
k141_292	deepbgc	0.1.0	deepbgc	k141_292_7-328.1	7	328	321	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_292_k141_292_1		PF02137
k141_852548	deepbgc	0.1.0	deepbgc	k141_852548_24-1222.1	24	1222	1198	2	2	1	0.78074	antibacterial	0.85	0.06	0.20	0.27		0.00	0.01	0.50	0.02	0.02	0.00	0.45	k141_852548_k141_852548_1;k141_852548_k141_852548_2	PF00202	PF00202;PF00202
k141_1172156	deepbgc	0.1.0	deepbgc	k141_1172156_0-360.1	0	360	360	1	1	0	0.54590	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_1172156_k141_1172156_1		PF00481
