sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_990848	deepbgc	0.1.0	deepbgc	k141_990848_544-1846.1	544	1846	1302	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_990848_k141_990848_1		PF05210
k141_198186	deepbgc	0.1.0	deepbgc	k141_198186_790-1030.1	790	1030	240	1	1	0	0.65185	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_198186_k141_198186_1		PF10517
k141_495451	deepbgc	0.1.0	deepbgc	k141_495451_0-177.1	0	177	177	1	1	1	0.57273	antibacterial	0.86	0.06	0.17	0.27		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_495451_k141_495451_1	PF00289	PF00289
k141_693643	deepbgc	0.1.0	deepbgc	k141_693643_227-1038.1	227	1038	811	2	2	1	0.68258	antibacterial	0.86	0.06	0.17	0.25		0.00	0.07	0.36	0.21	0.14	0.03	0.25	k141_693643_k141_693643_1;k141_693643_k141_693643_2	PF01553	PF01553;PF01553
k141_50	deepbgc	0.1.0	deepbgc	k141_50_1203-1515.1	1203	1515	312	1	1	0	0.63067	antibacterial	0.66	0.04	0.25	0.21		0.00	0.08	0.07	0.31	0.24	0.03	0.32	k141_50_k141_50_1		PF07714
k141_693665	deepbgc	0.1.0	deepbgc	k141_693665_616-1421.1	616	1421	805	2	4	0	0.59488	antibacterial-antifungal	0.78	0.02	0.20	0.63	Polyketide	0.00	0.01	0.05	0.91	0.03	0.00	0.01	k141_693665_k141_693665_1;k141_693665_k141_693665_2		PF00083;PF07690;PF00083;PF00528
k141_198225	deepbgc	0.1.0	deepbgc	k141_198225_274-616.1	274	616	342	1	3	0	0.60705	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_198225_k141_198225_1		PF13964;PF01344;PF07646
k141_990908	deepbgc	0.1.0	deepbgc	k141_990908_645-1026.1	645	1026	381	1	1	0	0.69562	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_990908_k141_990908_1		PF03567
k141_99169	deepbgc	0.1.0	deepbgc	k141_99169_90-1908.1	90	1908	1818	2	2	0	0.63426	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_99169_k141_99169_1;k141_99169_k141_99169_2		PF11843;PF11843
k141_792772	deepbgc	0.1.0	deepbgc	k141_792772_327-672.1	327	672	345	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_792772_k141_792772_1		PF12387
k141_891851	deepbgc	0.1.0	deepbgc	k141_891851_3378-4182.1	3378	4182	804	1	1	0	0.72249	antibacterial	0.88	0.05	0.15	0.23	RiPP	0.00	0.05	0.00	0.19	0.63	0.03	0.13	k141_891851_k141_891851_7		PF13471
k141_693714	deepbgc	0.1.0	deepbgc	k141_693714_1-259.1	1	259	258	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_693714_k141_693714_1		PF07545
k141_99199	deepbgc	0.1.0	deepbgc	k141_99199_137-668.1	137	668	531	1	1	0	0.64140	antibacterial	0.61	0.04	0.19	0.18		0.00	0.10	0.07	0.32	0.24	0.03	0.29	k141_99199_k141_99199_2		PF00069
k141_891872	deepbgc	0.1.0	deepbgc	k141_891872_0-1526.1	0	1526	1526	2	2	0	0.51996	antibacterial	0.55	0.05	0.16	0.19		0.00	0.07	0.04	0.25	0.26	0.03	0.38	k141_891872_k141_891872_1;k141_891872_k141_891872_2		PF00497;PF00027
k141_396469	deepbgc	0.1.0	deepbgc	k141_396469_733-1123.1	733	1123	390	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.08	0.33	0.21	0.03	0.32	k141_396469_k141_396469_2		PF13966
k141_1090073	deepbgc	0.1.0	deepbgc	k141_1090073_1-997.1	1	997	996	1	1	1	0.52656	antibacterial	0.87	0.06	0.17	0.26		0.00	0.08	0.06	0.32	0.18	0.10	0.31	k141_1090073_k141_1090073_1	PF04932	PF04932
k141_396515	deepbgc	0.1.0	deepbgc	k141_396515_1094-1364.1	1094	1364	270	1	1	0	0.64080	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_396515_k141_396515_2		PF09752
k141_495588	deepbgc	0.1.0	deepbgc	k141_495588_298-1060.1	298	1060	762	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_495588_k141_495588_2		PF00098
k141_693800	deepbgc	0.1.0	deepbgc	k141_693800_200-623.1	200	623	423	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_693800_k141_693800_1		PF16077
k141_396553	deepbgc	0.1.0	deepbgc	k141_396553_819-1290.1	819	1290	471	1	1	0	0.61820	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_396553_k141_396553_1		PF04161
k141_215	deepbgc	0.1.0	deepbgc	k141_215_0-1101.1	0	1101	1101	2	4	3	0.61922	antibacterial	0.61	0.05	0.37	0.11		0.07	0.20	0.04	0.12	0.18	0.00	0.41	k141_215_k141_215_1;k141_215_k141_215_2	PF02771;PF02770;PF00106	PF00106;PF13561;PF02771;PF02770
k141_594704	deepbgc	0.1.0	deepbgc	k141_594704_1208-1565.1	1208	1565	357	1	1	0	0.56482	antibacterial	0.87	0.07	0.17	0.27		0.00	0.09	0.15	0.29	0.19	0.02	0.30	k141_594704_k141_594704_2		PF00676
k141_238	deepbgc	0.1.0	deepbgc	k141_238_1-1306.1	1	1306	1305	2	5	4	0.62448	antibacterial	0.81	0.04	0.16	0.08		0.01	0.01	0.03	0.11	0.37	0.00	0.48	k141_238_k141_238_1;k141_238_k141_238_2	PF02770;PF02771;PF08659;PF00106	PF13561;PF00106;PF08659;PF02771;PF02770
