sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_184555	deepbgc	0.1.0	deepbgc	k141_184555_81-1224.1	81	1224	1143	1	1	0	0.55340	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_184555_k141_184555_2		PF00801
k141_73841	deepbgc	0.1.0	deepbgc	k141_73841_510-1221.1	510	1221	711	1	1	0	0.54276	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_73841_k141_73841_2		PF04290
k141_332192	deepbgc	0.1.0	deepbgc	k141_332192_0-1179.1	0	1179	1179	1	1	0	0.51476	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_332192_k141_332192_1		PF12259
k141_295285	deepbgc	0.1.0	deepbgc	k141_295285_2-1046.1	2	1046	1044	1	1	0	0.50159	antibacterial	0.85	0.08	0.16	0.27		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_295285_k141_295285_1		PF00665
k141_147655	deepbgc	0.1.0	deepbgc	k141_147655_2-1278.1	2	1278	1276	3	4	1	0.58402	antibacterial	0.78	0.06	0.25	0.22		0.00	0.10	0.26	0.22	0.19	0.03	0.25	k141_147655_k141_147655_1;k141_147655_k141_147655_2;k141_147655_k141_147655_3	PF00441	PF01575;PF15617;PF03328;PF00441
k141_295302	deepbgc	0.1.0	deepbgc	k141_295302_295-1003.1	295	1003	708	1	1	0	0.59379	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_295302_k141_295302_1		PF07589
k141_73849	deepbgc	0.1.0	deepbgc	k141_73849_1-1160.1	1	1160	1159	2	3	0	0.68348		0.42	0.03	0.30	0.14		0.00	0.09	0.07	0.31	0.27	0.03	0.29	k141_73849_k141_73849_1;k141_73849_k141_73849_2		PF13672;PF00069;PF07714
k141_61	deepbgc	0.1.0	deepbgc	k141_61_0-1420.1	0	1420	1420	2	5	2	0.77707	antibacterial	0.85	0.05	0.26	0.22	Saccharide	0.00	0.02	0.02	0.01	0.01	0.92	0.02	k141_61_k141_61_1;k141_61_k141_61_2	PF00535;PF02397	PF02397;PF13641;PF00535;PF13704;PF10111
k141_295303	deepbgc	0.1.0	deepbgc	k141_295303_2-2050.1	2	2050	2048	4	3	0	0.55320	antibacterial	0.61	0.05	0.12	0.17		0.00	0.05	0.47	0.16	0.13	0.02	0.20	k141_295303_k141_295303_1;k141_295303_k141_295303_2;k141_295303_k141_295303_3;k141_295303_k141_295303_4		PF13380;PF00440;PF13977
k141_258385	deepbgc	0.1.0	deepbgc	k141_258385_3212-4604.1	3212	4604	1392	1	1	0	0.51434	antibacterial	0.80	0.11	0.19	0.23		0.00	0.07	0.14	0.30	0.15	0.01	0.37	k141_258385_k141_258385_5		PF13489
k141_295309	deepbgc	0.1.0	deepbgc	k141_295309_0-1902.1	0	1902	1902	4	4	0	0.56867	antibacterial	0.93	0.05	0.05	0.11	Terpene	0.00	0.00	0.01	0.42	0.04	0.01	0.53	k141_295309_k141_295309_1;k141_295309_k141_295309_2;k141_295309_k141_295309_3;k141_295309_k141_295309_4		PF00717;PF04264;PF01300;PF01565
k141_36955	deepbgc	0.1.0	deepbgc	k141_36955_136-1072.1	136	1072	936	1	1	0	0.68616	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_36955_k141_36955_2		PF02538
k141_258395	deepbgc	0.1.0	deepbgc	k141_258395_2-1274.1	2	1274	1272	2	2	0	0.61970	antibacterial	0.86	0.06	0.17	0.26		0.00	0.08	0.09	0.33	0.20	0.03	0.32	k141_258395_k141_258395_1;k141_258395_k141_258395_2		PF13852;PF07977
k141_406048	deepbgc	0.1.0	deepbgc	k141_406048_325-1243.1	325	1243	918	1	1	0	0.69534	antibacterial	0.85	0.08	0.17	0.27		0.00	0.11	0.07	0.34	0.20	0.03	0.31	k141_406048_k141_406048_2		PF00296
k141_110780	deepbgc	0.1.0	deepbgc	k141_110780_18-1146.1	18	1146	1128	1	1	0	0.58543	antibacterial	0.87	0.07	0.17	0.26		0.00	0.09	0.07	0.32	0.22	0.03	0.32	k141_110780_k141_110780_1		PF03176
k141_295318	deepbgc	0.1.0	deepbgc	k141_295318_1-1174.1	1	1174	1173	1	2	0	0.64625	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_295318_k141_295318_1		PF14312;PF00353
k141_147696	deepbgc	0.1.0	deepbgc	k141_147696_606-1098.1	606	1098	492	1	1	0	0.51942	antibacterial	0.87	0.04	0.12	0.25		0.00	0.07	0.12	0.18	0.49	0.01	0.15	k141_147696_k141_147696_2		PF00881
k141_369123	deepbgc	0.1.0	deepbgc	k141_369123_309-1110.1	309	1110	801	1	1	1	0.57945	antibacterial	0.58	0.09	0.37	0.17	Other	0.00	0.18	0.50	0.13	0.06	0.01	0.14	k141_369123_k141_369123_2	PF00155	PF00155
k141_406070	deepbgc	0.1.0	deepbgc	k141_406070_17-1046.1	17	1046	1029	1	1	0	0.50231	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_406070_k141_406070_1		PF03958
k141_295338	deepbgc	0.1.0	deepbgc	k141_295338_0-102.1	0	102	102	1	1	0	0.62586	antibacterial	0.89	0.06	0.15	0.26		0.00	0.09	0.14	0.31	0.17	0.03	0.31	k141_295338_k141_295338_1		PF02779
