sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_111290	deepbgc	0.1.0	deepbgc	k141_111290_695-1187.1	695	1187	492	1	1	0	0.53093	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_111290_k141_111290_3		PF14394
k141_20	deepbgc	0.1.0	deepbgc	k141_20_2-1457.1	2	1457	1455	3	3	0	0.63437	antibacterial	0.81	0.15	0.15	0.26		0.01	0.08	0.15	0.28	0.20	0.03	0.30	k141_20_k141_20_1;k141_20_k141_20_2;k141_20_k141_20_3		PF00198;PF03795;PF00300
k141_111294	deepbgc	0.1.0	deepbgc	k141_111294_0-3006.1	0	3006	3006	3	8	0	0.59678	antibacterial	0.67	0.16	0.19	0.11	RiPP	0.00	0.01	0.15	0.01	0.81	0.01	0.02	k141_111294_k141_111294_1;k141_111294_k141_111294_2;k141_111294_k141_111294_3		PF12698;PF13346;PF12679;PF12730;PF13304;PF00005;PF13476;PF00392
k141_333885	deepbgc	0.1.0	deepbgc	k141_333885_1-949.1	1	949	948	1	1	1	0.76037	antibacterial	0.86	0.06	0.18	0.27	Terpene	0.00	0.05	0.04	0.22	0.13	0.02	0.57	k141_333885_k141_333885_1	PF00432	PF00432
k141_37125	deepbgc	0.1.0	deepbgc	k141_37125_123-1370.1	123	1370	1247	2	6	3	0.64413	antibacterial	0.68	0.08	0.08	0.30		0.00	0.14	0.21	0.49	0.05	0.01	0.24	k141_37125_k141_37125_1;k141_37125_k141_37125_2	PF08541;PF00108;PF08545	PF08541;PF08545;PF08392;PF00108;PF07451;PF01783
k141_74244	deepbgc	0.1.0	deepbgc	k141_74244_25-1012.1	25	1012	987	1	1	0	0.60711	antibacterial	0.87	0.06	0.17	0.26		0.00	0.11	0.06	0.32	0.21	0.03	0.31	k141_74244_k141_74244_1		PF00144
k141_58	deepbgc	0.1.0	deepbgc	k141_58_244-1096.1	244	1096	852	1	2	0	0.54286	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_58_k141_58_1		PF17396;PF07755
k141_222626	deepbgc	0.1.0	deepbgc	k141_222626_237-1359.1	237	1359	1122	1	1	0	0.54040	antibacterial	0.86	0.06	0.17	0.27		0.00	0.08	0.07	0.31	0.19	0.08	0.31	k141_222626_k141_222626_2		PF00480
k141_259718	deepbgc	0.1.0	deepbgc	k141_259718_66-753.1	66	753	687	1	1	0	0.68077	antibacterial	0.87	0.05	0.20	0.25		0.00	0.08	0.15	0.29	0.20	0.03	0.30	k141_259718_k141_259718_1		PF13578
k141_296813	deepbgc	0.1.0	deepbgc	k141_296813_0-1079.1	0	1079	1079	2	4	0	0.63324	antibacterial	0.68	0.11	0.20	0.14	RiPP	0.00	0.02	0.09	0.04	0.83	0.02	0.02	k141_296813_k141_296813_1;k141_296813_k141_296813_2		PF00005;PF13304;PF13732;PF12698
k141_74249	deepbgc	0.1.0	deepbgc	k141_74249_37-1264.1	37	1264	1227	1	1	0	0.50231	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_74249_k141_74249_1		PF03958
k141_37142	deepbgc	0.1.0	deepbgc	k141_37142_372-1191.1	372	1191	819	1	1	1	0.54299	antibacterial	0.83	0.05	0.16	0.29		0.05	0.08	0.07	0.30	0.21	0.03	0.31	k141_37142_k141_37142_2	PF00248	PF00248
k141_69	deepbgc	0.1.0	deepbgc	k141_69_78-1112.1	78	1112	1034	2	2	0	0.59323	antibacterial	0.71	0.15	0.16	0.20	RiPP	0.01	0.04	0.15	0.21	0.51	0.01	0.08	k141_69_k141_69_1;k141_69_k141_69_2		PF13649;PF00278
k141_148470	deepbgc	0.1.0	deepbgc	k141_148470_759-1041.1	759	1041	282	1	1	0	0.76696	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_148470_k141_148470_2		PF12867
k141_296863	deepbgc	0.1.0	deepbgc	k141_296863_188-1883.1	188	1883	1695	1	1	0	0.63930	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_296863_k141_296863_2		PF00305
k141_333976	deepbgc	0.1.0	deepbgc	k141_333976_1-1018.1	1	1018	1017	1	2	1	0.62626	antibacterial	0.83	0.06	0.17	0.30		0.00	0.12	0.08	0.31	0.19	0.03	0.33	k141_333976_k141_333976_1	PF00171	PF00171;PF05893
k141_185603	deepbgc	0.1.0	deepbgc	k141_185603_562-2127.1	562	2127	1565	2	9	6	0.82773	antibacterial	0.67	0.10	0.23	0.19	Polyketide	0.04	0.14	0.13	0.52	0.02	0.17	0.02	k141_185603_k141_185603_2;k141_185603_k141_185603_3	PF00106;PF02719;PF08659;PF07993;PF04321;PF01370	PF00106;PF08659;PF16363;PF01370;PF01073;PF04321;PF02719;PF07993;PF03808
k141_74318	deepbgc	0.1.0	deepbgc	k141_74318_63-1272.1	63	1272	1209	1	1	0	0.50428	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.32	0.22	0.03	0.32	k141_74318_k141_74318_1		PF00873
