sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_215838	deepbgc	0.1.0	deepbgc	k141_215838_391-1102.1	391	1102	711	1	1	0	0.50664	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_215838_k141_215838_1		PF08370
k141_215840	deepbgc	0.1.0	deepbgc	k141_215840_2-1249.1	2	1249	1247	2	6	1	0.56581	antibacterial	0.83	0.10	0.21	0.24	Other	0.00	0.00	0.64	0.05	0.01	0.01	0.29	k141_215840_k141_215840_1;k141_215840_k141_215840_2	PF00202	PF08279;PF12840;PF12802;PF13412;PF13404;PF00202
k141_188873	deepbgc	0.1.0	deepbgc	k141_188873_97-1495.1	97	1495	1398	1	1	0	0.62917	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_188873_k141_188873_1		PF06131
k141_27	deepbgc	0.1.0	deepbgc	k141_27_1044-4356.1	1044	4356	3312	3	3	1	0.60683	antibacterial	0.78	0.03	0.23	0.13		0.00	0.22	0.25	0.31	0.10	0.01	0.11	k141_27_k141_27_3;k141_27_k141_27_4;k141_27_k141_27_5	PF00501	PF00753;PF16123;PF00501
k141_242848	deepbgc	0.1.0	deepbgc	k141_242848_352-1114.1	352	1114	762	1	3	0	0.61327	antibacterial	0.78	0.06	0.10	0.28		0.00	0.10	0.10	0.30	0.28	0.03	0.23	k141_242848_k141_242848_2		PF00196;PF08281;PF13384
k141_27008	deepbgc	0.1.0	deepbgc	k141_27008_0-924.1	0	924	924	1	1	0	0.70457	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_27008_k141_27008_1		PF12770
k141_45	deepbgc	0.1.0	deepbgc	k141_45_1-1771.1	1	1771	1770	1	1	0	0.73125	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_45_k141_45_1		PF00353
k141_269841	deepbgc	0.1.0	deepbgc	k141_269841_1-1195.1	1	1195	1194	1	1	0	0.58191	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_269841_k141_269841_1		PF01968
k141_80998	deepbgc	0.1.0	deepbgc	k141_80998_691-1435.1	691	1435	744	1	1	0	0.55261	antibacterial	0.74	0.05	0.26	0.21		0.02	0.45	0.09	0.44	0.11	0.02	0.16	k141_80998_k141_80998_2		PF00266
k141_107970	deepbgc	0.1.0	deepbgc	k141_107970_47-1568.1	47	1568	1521	1	1	0	0.61586	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_107970_k141_107970_1		PF11376
