sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_544861	deepbgc	0.1.0	deepbgc	k141_544861_2-149.1	2	149	147	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_544861_k141_544861_1		PF13976
k141_726487	deepbgc	0.1.0	deepbgc	k141_726487_614-3645.1	614	3645	3031	2	3	0	0.58439	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_726487_k141_726487_2;k141_726487_k141_726487_3		PF03629;PF07596;PF13828
k141_726500	deepbgc	0.1.0	deepbgc	k141_726500_754-2496.1	754	2496	1742	2	7	3	0.73467	antibacterial	0.82	0.06	0.17	0.33	Polyketide	0.00	0.00	0.01	0.74	0.01	0.06	0.19	k141_726500_k141_726500_1;k141_726500_k141_726500_2	PF01370;PF00106;PF08659	PF13229;PF05048;PF00106;PF08659;PF01370;PF13561;PF13460
k141_454078	deepbgc	0.1.0	deepbgc	k141_454078_0-622.1	0	622	622	2	2	1	0.91838	inhibitor	0.40	0.03	0.55	0.03		0.00	0.33	0.36	0.19	0.07	0.00	0.05	k141_454078_k141_454078_1;k141_454078_k141_454078_2	PF00501	PF00501;PF00550
k141_544914	deepbgc	0.1.0	deepbgc	k141_544914_25-475.1	25	475	450	1	1	0	0.83351	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.08	0.33	0.21	0.03	0.31	k141_544914_k141_544914_1		PF00685
k141_817329	deepbgc	0.1.0	deepbgc	k141_817329_624-1743.1	624	1743	1119	1	1	0	0.72585	antibacterial	0.87	0.06	0.17	0.26		0.00	0.08	0.05	0.32	0.21	0.07	0.32	k141_817329_k141_817329_2		PF13229
k141_908154	deepbgc	0.1.0	deepbgc	k141_908154_1176-5106.1	1176	5106	3930	4	7	2	0.58357	inhibitor	0.33	0.08	0.61	0.06	Polyketide	0.00	0.19	0.06	0.79	0.01	0.01	0.02	k141_908154_k141_908154_2;k141_908154_k141_908154_3;k141_908154_k141_908154_4;k141_908154_k141_908154_5	PF00107;PF08240	PF13602;PF00107;PF16884;PF08240;PF00596;PF00293;PF11898
k141_998991	deepbgc	0.1.0	deepbgc	k141_998991_634-1096.1	634	1096	462	1	1	0	0.54382	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_998991_k141_998991_1		PF08238
k141_363334	deepbgc	0.1.0	deepbgc	k141_363334_0-963.1	0	963	963	1	1	1	0.54061	antibacterial	0.86	0.06	0.17	0.25		0.00	0.09	0.05	0.31	0.21	0.10	0.29	k141_363334_k141_363334_1	PF01943	PF01943
k141_454115	deepbgc	0.1.0	deepbgc	k141_454115_0-1379.1	0	1379	1379	2	6	1	0.55180	antibacterial	0.70	0.05	0.10	0.36	NRP	0.00	0.54	0.11	0.20	0.07	0.02	0.07	k141_454115_k141_454115_1;k141_454115_k141_454115_2	PF00561	PF12697;PF00561;PF12695;PF12146;PF07819;PF03808
