sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k119_21425	deepbgc	0.1.0	deepbgc	k119_21425_1046-1868.1	1046	1868	822	1	1	0	0.52425	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k119_21425_k119_21425_3		PF13385
k119_21427	deepbgc	0.1.0	deepbgc	k119_21427_577-1168.1	577	1168	591	1	1	0	0.51352	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k119_21427_k119_21427_3		PF10298
k119_16073	deepbgc	0.1.0	deepbgc	k119_16073_1628-2450.1	1628	2450	822	1	2	0	0.56274	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k119_16073_k119_16073_5		PF09206;PF13385
k119_16	deepbgc	0.1.0	deepbgc	k119_16_243-861.1	243	861	618	1	1	0	0.63239	antibacterial	0.87	0.05	0.20	0.25		0.00	0.08	0.15	0.29	0.20	0.03	0.30	k119_16_k119_16_2		PF13578
k119_5380	deepbgc	0.1.0	deepbgc	k119_5380_2-2729.1	2	2729	2727	2	4	0	0.75097	antibacterial	0.87	0.06	0.17	0.26		0.00	0.08	0.05	0.32	0.21	0.07	0.32	k119_5380_k119_5380_1;k119_5380_k119_5380_2		PF00544;PF12708;PF13229;PF16318
k119_2711	deepbgc	0.1.0	deepbgc	k119_2711_0-1106.1	0	1106	1106	2	2	1	0.75094	antibacterial	0.86	0.05	0.16	0.25		0.00	0.07	0.05	0.25	0.16	0.29	0.21	k119_2711_k119_2711_1;k119_2711_k119_2711_2	PF00535	PF04230;PF00535
k119_5383	deepbgc	0.1.0	deepbgc	k119_5383_2-1108.1	2	1108	1106	3	2	0	0.67112	antibacterial	0.87	0.06	0.17	0.26		0.00	0.11	0.07	0.32	0.20	0.03	0.32	k119_5383_k119_5383_1;k119_5383_k119_5383_2;k119_5383_k119_5383_3		PF15061;PF11251
k119_18756	deepbgc	0.1.0	deepbgc	k119_18756_504-1611.1	504	1611	1107	1	1	0	0.57650	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k119_18756_k119_18756_2		PF08450
k119_26801	deepbgc	0.1.0	deepbgc	k119_26801_681-1347.1	681	1347	666	1	1	0	0.61072	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k119_26801_k119_26801_2		PF11913
k119_18766	deepbgc	0.1.0	deepbgc	k119_18766_2-845.1	2	845	843	1	2	0	0.67930	antibacterial	0.87	0.06	0.17	0.26		0.01	0.09	0.06	0.38	0.17	0.03	0.32	k119_18766_k119_18766_1		PF13517;PF01839
