sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_162017	deepbgc	0.1.0	deepbgc	k141_162017_338-674.1	338	674	336	1	1	0	0.52866	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_162017_k141_162017_2		PF07727
k141_486033	deepbgc	0.1.0	deepbgc	k141_486033_1-1210.1	1	1210	1209	1	1	0	0.51310	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_486033_k141_486033_1		PF07661
k141_405032	deepbgc	0.1.0	deepbgc	k141_405032_0-1119.1	0	1119	1119	1	1	0	0.50159	antibacterial	0.85	0.08	0.16	0.27		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_405032_k141_405032_1		PF00665
k141_810059	deepbgc	0.1.0	deepbgc	k141_810059_1-1239.1	1	1239	1238	2	2	0	0.57615	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_810059_k141_810059_1;k141_810059_k141_810059_2		PF04784;PF13557
k141_162029	deepbgc	0.1.0	deepbgc	k141_162029_1-865.1	1	865	864	1	2	0	0.50377	antibacterial	0.87	0.07	0.18	0.27		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_162029_k141_162029_1		PF00394;PF07732
k141_243042	deepbgc	0.1.0	deepbgc	k141_243042_1-1250.1	1	1250	1249	2	2	0	0.59899	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_243042_k141_243042_1;k141_243042_k141_243042_2		PF03480;PF04290
k141_162048	deepbgc	0.1.0	deepbgc	k141_162048_2-650.1	2	650	648	1	1	0	0.54158	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_162048_k141_162048_1		PF00115
k141_486054	deepbgc	0.1.0	deepbgc	k141_486054_2-1280.1	2	1280	1278	2	7	3	0.67351	antibacterial	0.78	0.03	0.20	0.21	Polyketide	0.00	0.00	0.00	0.94	0.02	0.00	0.04	k141_486054_k141_486054_1;k141_486054_k141_486054_2	PF00106;PF01370;PF08659	PF04191;PF04140;PF06966;PF13561;PF00106;PF01370;PF08659
k141_243052	deepbgc	0.1.0	deepbgc	k141_243052_1-947.1	1	947	946	2	2	1	0.76921	antibacterial	0.61	0.06	0.11	0.18		0.00	0.05	0.38	0.21	0.16	0.02	0.23	k141_243052_k141_243052_1;k141_243052_k141_243052_2	PF02771	PF02771;PF00440
k141_729078	deepbgc	0.1.0	deepbgc	k141_729078_2-434.1	2	434	432	1	1	0	0.52027	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_729078_k141_729078_1		PF07929
